date,IGAE,ActividadIndustrial,FBCF
2011-11-01,87.6010322464,93.9664721637,97.379073702
2011-12-01,87.5531802123,94.4680061639,98.8797051996
2012-01-01,88.3363833192,94.5746847544,96.9006355484
2012-02-01,88.5178858634,94.5612341055,97.1286331089
2012-03-01,88.6915833842,94.6574529404,96.3215849913
2012-04-01,88.9088108391,95.1542823502,98.6940245415
2012-05-01,88.5142038534,94.753720036,98.0810211671
2012-06-01,89.1120784341,95.2353211824,96.5207774558
2012-07-01,89.47218698,95.9838522159,99.6015422715
2012-08-01,88.9597387694,94.6221712761,97.2894007966
2012-09-01,89.3152663558,95.8699976513,99.5945601466
2012-10-01,89.2151884501,94.0324394285,97.0573769766
2012-11-01,90.0843581033,94.8251854337,98.1178840882
2012-12-01,89.76259628,94.3054642881,94.2764729648
2013-01-01,89.6844498034,94.4352135551,94.656601074
2013-02-01,89.5589280582,95.13950553,96.9873955346
2013-03-01,89.4970436167,94.1530260265,96.3311367503
2013-04-01,89.1968366162,93.2926337139,93.4522386035
2013-05-01,89.9267582212,94.7809778135,95.0715625078
2013-06-01,89.6420503303,93.8346415049,91.7812565677
2013-07-01,89.6914125411,94.0038455324,93.7196823223
2013-08-01,90.2571296052,94.9148191685,91.7637419266
2013-09-01,90.1335909882,94.0083970971,91.5849628738
2013-10-01,90.4196096019,95.011957185,91.9575257744
2013-11-01,90.2134774873,94.7465549723,90.9922988676
2013-12-01,90.7542812757,95.0436519026,93.9221754953
2014-01-01,90.0152473247,95.1246098094,91.728676247
2014-02-01,91.1966618437,95.4597869796,94.663796019
2014-03-01,91.45301427,96.897447431,95.5656959795
2014-04-01,91.8717775052,97.4622411363,95.5076843576
2014-05-01,92.5483897007,97.5572185248,95.2145381648
2014-06-01,92.2068070594,97.813903025,95.7312091373
2014-07-01,92.7741787014,97.2154360397,94.2809918421
2014-08-01,92.1488330678,96.7670187448,95.5062748407
2014-09-01,92.3594081169,97.4047492423,94.5469466404
2014-10-01,93.0099412012,98.253745995,98.9577175743
2014-11-01,93.1564050646,98.0839490203,98.2621083263
2014-12-01,93.0513450782,97.8872623033,97.9442121507
2015-01-01,93.1176195247,97.5116165758,99.1487940798
2015-02-01,93.4715320604,98.1771503884,96.1700117907
2015-03-01,93.6681556554,97.6593349871,97.2138550394
2015-04-01,94.5109961269,98.7413422197,100.7569503258
2015-05-01,93.8494644734,97.8685296999,98.6629371306
